code,name,descr
BE,België,België
NL,Nederland,Nederland
DE,Duitsland,Duitsland
FR,Frankrijk,Frankrijk
IT,Italië,Italië
ES,Spanje,Spanje
PT,Portugal,Portugal
SE,Zweden,Zweden
FI,Finland,Finland
NO,Noorwegen,Noorwegen
DK,Denemarken,Denemarken
PL,Polen,Polen
CZ,Tsjechië,Tsjechië
SK,Slowakije,Slowakije
HU,Hongarije,Hongarije
AT,Oostenrijk,Oostenrijk
CH,Zwitserland,Zwitserland
IE,Ierland,Ierland
UK,Verenigd Koninkrijk,Verenigd Koninkrijk
GR,Griekenland,Griekenland
BG,Bulgarije,Bulgarije
RO,Roemenië,Roemenië
HR,Kroatië,Kroatië
SI,Slovenië,Slovenië
EE,Estland,Estland
LV,Letland,Letland
LT,Litouwen,Litouwen
CY,Cyprus,Cyprus
LU,Luxemburg,Luxemburg
MT,Malta,Malta
